brand_id_xml,brand_name,categ_id_xml,series_name,name,code,catalog_status,active,sequence,equivalent_type,product_features,product_description,main_applications,special_applications,variant_thickness,variant_adhesive_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_ref_price,variant_is_rohs,variant_is_reach,variant_is_halogen_free,variant_fire_rating
,3m,category_tape_foam,3M GT7100 系列,3M GT7102,GT7102,published,1,10,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",0.2,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7104,GT7104,published,1,20,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",0.4,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7106,GT7106,published,1,30,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",0.6,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7108,GT7108,published,1,40,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",0.8,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7110,GT7110,published,1,50,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",1.0,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7112,GT7112,published,1,60,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",1.2,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7116,GT7116,published,1,70,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",1.6,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7120,GT7120,published,1,80,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",2.0,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7125,GT7125,published,1,90,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",2.5,,灰色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7130,GT7130,published,1,100,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",3.0,,白色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7135,GT7135,published,1,110,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",3.5,,白色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
,3m,category_tape_foam,3M GT7100 系列,3M GT7140,GT7140,published,1,120,,"对汽车漆面与基材具有优异的最终粘接力和保持力
满足多项 OEM 规范要求
能够跟随塑料件因温度变化产生的收缩与伸长
粘弹性泡棉芯具备良好应力释放与复杂曲面贴服能力
在不同温度条件下保持良好粘接性能
具备耐候、耐溶剂与耐高温能力",3M GT7100 系列为面向汽车内外饰件固定应用设计的亚克力泡棉胶带，采用丙烯酸压敏胶体系，兼具高柔顺性、耐环境性与优异的长期粘接表现。,"<div data-oe-version=""2.0""><ul><li>汽车外饰条固定</li><li>汽车内饰件固定</li></ul></div>","<div data-oe-version=""2.0""><p>红色半透明聚乙烯离型膜；离型膜厚度不计入总厚度。</p></div>",4.0,,白色,丙烯酸压敏胶,亚克力泡棉,0.0,0,0,0,none
